Name	Field	Morpho	Sp (mJy)	err_Sp	Sint (Jy km/s)	err	RMS (mJy/beam)	V_sys (km/s)	w50	DL (Mpc)	log M_HI	D_HI (kpc)
MGTH_J022229.7-045314	XMMLSS13_1310	SP	3.4410996664769917	0.11644047312297935	0.4207064722009513	0.02103532361004757	0.11644047312297935	23202.08058719279	310.063856	365.0655943549231	10.053746573344348	61.09420249055721
MGTH_J022230.9-040742	XMMLSS13_1310	SP	9.204909402687717	0.5612927559020744	0.20951380218346705	0.010475690109173355	0.5612927559020744	20558.758333102945	45.954898	320.4519357919716	9.64532395544782	38.99419866765434
MGTH_J022233.1-054249	XMMLSS14_1330	IR	27.844529118529053	0.8425181409251845	2.706939965361756	0.1353469982680878	0.8425181409251845	9696.850024140129	44.0	143.85865210438274	10.092520557004732	49.659232145033606
MGTH_J022236.8-043432	XMMLSS14_1310	SP	1.579735205379602	0.100318971082033	0.15811362579314034	0.007905681289657017	0.100318971082033	20112.01201595983	192.19378	313.27050603059337	9.504625543174006	30.19951720402016
MGTH_J022244.3-035807	XMMLSS14_1380	IR	184.33546817037362	1.0699329121964876	21.094949587091254	1.0547474793545628	1.0699329121964876	2308.9242754508205	109.32268899999998	32.98816421144595	9.726444406499727	36.47539469256076
MGTH_J022248.8-045308	XMMLSS13_1330	SP	9.09915317100482	0.1636145848480013	1.4455402795088412	0.07227701397544206	0.1636145848480013	10985.48094813678	202.072023	163.76470462122342	9.928937080807604	45.60369159512962
MGTH_J022256.0-051359	XMMLSS14_1330	IR	3.210343139080102	0.09356423145665747	0.4772445764746182	0.023862228823730916	0.09356423145665747	13093.926736106667	102.746271	197.84430919390053	9.605602406245794	36.81289736425313
MGTH_J022302.5-043637	XMMLSS13_1310	ET	2.1730011900257997	0.17218306115195006	0.12682661313204585	0.0063413306566022926	0.17218306115195006	23083.614569289868	67.319194	364.25039434111915	9.531172772118797	34.35579478998746
MGTH_J022307.6-052904	XMMLSS14_1310	SP	10.346547485347713	0.19656277844751727	1.4897378157605852	0.07448689078802928	0.19656277844751727	20205.940721065235	415.916804	311.68016081889994	10.47461871979115	96.38290236239705
MGTH_J022313.2-043102	XMMLSS13_1380	SP	42.8854774006732	0.3114405974431682	5.5016916467305	0.27508458233652505	0.3114405974431682	5234.475466105306	180.37471200000002	75.79217910001158	9.856883733752207	39.810717055349734
MGTH_J022322.2-041956	XMMLSS14_1310	SP	3.5316881426914164	0.14567049891738798	0.21964668577524926	0.010982334288762463	0.14567049891738798	21971.992006275712	98.043986	344.6242611504997	9.724886360353873	43.35108783875287
MGTH_J022325.3-053839	XMMLSS14_1380	IR	6.589436429061792	0.41736792371677534	0.2128127632654429	0.02128127632654429	0.41736792371677534	5638.249954255376	71.373277	82.50198396139128	8.516765059473544	10.789467222298287
MGTH_J022325.5-041753	XMMLSS14_1330	SP	7.818627977188539	0.23299286279881146	1.4800984164474051	0.07400492082237026	0.23299286279881146	12691.76988708776	270.85745299999996	191.251996041644	10.068917626798347	62.08690342300634
MGTH_J022332.2-044928	XMMLSS14_1330	IR	3.7467977237021857	0.06588621538740301	0.2719295812467243	0.013596479062336214	0.06588621538740301	13116.914410892296	91.479922	197.84430919390053	9.361317858485835	29.512092266663856
MGTH_J022336.8-042834	XMMLSS14_1310	SP	4.73384775242097	0.10144540038202136	0.5605682510402107	0.028028412552010537	0.10144540038202136	20041.59308204085	189.581872	311.68016081889994	10.05013737462031	55.207743928075736
MGTH_J022340.4-050045	XMMLSS13_1330	SP	10.141670374486344	0.4080210444174967	0.9320075968997183	0.04660037984498592	0.4080210444174967	13094.25876074518	125.894811	197.84430919390053	9.896280856933961	49.31738039549359
MGTH_J022344.3-042752	XMMLSS14_1330	IR	3.056976748316607	0.12250226578935125	0.3604508820674992	0.01802254410337496	0.12250226578935125	17760.258206840826	95.45516500000001	273.2455953071642	9.750712223610963	44.87453899331321
MGTH_J022350.6-045045	XMMLSS14_1330	IR	13.950387973312075	0.07326137124491744	1.8604780991892629	0.09302390495946317	0.07326137124491744	12910.007599500621	122.30101599999999	194.91051370764092	10.184043267622775	68.23386941416697
MGTH_J022350.6-043703	XMMLSS13_1380	SP	276.9196471350893	0.8334515137360501	26.101236224166442	1.305061811208322	0.8334515137360501	2275.921456205867	105.542102	32.337818178401264	9.801761516298358	42.756288615158624
