Name	RA	DEC	V_sys (km/s)	z	w50 (km/s)	D_67 (Mpc)	D_70 (Mpc)	S_int (Jy km/s)	HI size (kpc)	HI size err	log D_HI	log D_HI err	log M_HI (70)	err (70)	log M_HI (67)	err (67)	Inclination	Morpho	RMS (mJy/beam)	Field
MGTH_J021931.5-042703	34.881303	-4.450866	20747	0.069329	64.32991	324.2848232	312.4827305	0.131703877	33.35001239	0.074197823	1.523096	0.021180492	9.423203197	0.019502399	9.455404403	0.019502399	TRUE	S	0.12594613	XMMLSS12_1310
MGTH_J021748.5-043241	34.452069	-4.544841	20709	0.069019154	231.099554	322.7665629	311.0186514	0.875018002	78.62252861	0.073875605	1.895547007	0.016944886	10.24179417	0.001438885	10.27399838	0.001438885	TRUE	S	0.061744797	XMMLSS12_1310
MGTH_J022113.4-043551	35.306002	-4.597368	24651	0.082097657	181.70527	387.3736322	373.3285577	0.158781831	48.15364845	0.087163123	1.682629198	0.022522496	9.648625603	0.012715234	9.68070329	0.012715234	TRUE	ET	0.098131137	XMMLSS13_1310
MGTH_J022108.8-043907	35.286748	-4.652048	24316	0.081064887	329.599695	382.2331256	368.3701996	0.245917912	52.35905503	0.086068026	1.7189918	0.021769086	9.827830904	0.007372386	9.859918568	0.007372386	TRUE	S	0.088156634	XMMLSS13_1310
MGTH_J022146.5-043621	35.44379	-4.605946	22763	0.075760163	327.709558	355.9336526	343.0043088	0.917200531	94.42518763	0.078542911	1.975087856	0.01728991	10.34180782	0.002205101	10.37394677	0.002205101	TRUE	S	0.098742831	XMMLSS13_1310
MGTH_J022054.9-042201	35.228724	-4.366962	22114	0.073720672	146.211299	345.868978	333.2976627	0.270435375	53.11866369	0.076580642	1.725247141	0.019299224	9.788120694	0.009141993	9.820279378	0.009141993	TRUE	S	0.120899033	XMMLSS13_1310
MGTH_J022148.3-044833	35.451399	-4.809249	21847	0.072873164	207.148307	341.6942555	329.2715695	0.232582229	47.02639561	0.075885742	1.672341693	0.019729103	9.712763516	0.008413425	9.744930404	0.008413425	TRUE	S	0.095755182	XMMLSS13_1310
MGTH_J022056.3-042806	35.234511	-4.468362	20835	0.069497277	68.070254	325.1096429	313.2781194	0.151024093	31.73532227	0.072804544	1.501542913	0.021081082	9.484722282	0.015623004	9.516921858	0.015623004	TRUE	S	0.115685626	XMMLSS13_1310
MGTH_J022028.9-042514	35.120451	-4.420579	20936	0.069665607	102.010154	325.9349	314.073933	0.22769848	42.73495172	0.07297606	1.630783218	0.019456125	9.665103139	0.01043173	9.697301084	0.01043173	TRUE	S	0.116454306	XMMLSS13_1310
MGTH_J022135.9-042519	35.399549	-4.421883	20734	0.069160775	180.974953	323.4604408	311.6877661	1.030561868	71.9578148	0.072461867	1.857077966	0.016964909	10.31460283	0.004879023	10.34680567	0.004879023	TRUE	S	0.246566849	XMMLSS13_1310
MGTH_J022229.7-045314	35.623553	-4.887167	24174	0.080375825	310.063856	378.8070616	365.0655944	0.420706472	64.05278039	0.085279747	1.806537986	0.020524424	10.05374657	0.005689746	10.0858409	0.005689746	TRUE	S	0.116440473	XMMLSS13_1310
MGTH_J022045.0-050058	35.187403	-5.016189	24780	0.082614782	-99	389.9500495	375.8137226	0.072862047	25.55780339	0.087712238	1.407523525	0.027094222	9.315674018	0.028519503	9.34774671	0.028519503	TRUE	D	0.100980501	XMMLSS13_1310
MGTH_J022230.9-040742	35.628928	-4.128441	21315	0.071013349	45.954898	332.5487701	320.4519358	0.209513802	42.58703218	0.074351611	1.629277376	0.019841181	9.645323955	0.054673131	9.677508849	0.054673131	TRUE	S	0.561292756	XMMLSS13_1310
MGTH_J021934.4-042846	34.893161	-4.479507	20847	0.069497277	94.146537	325.1096429	313.2781194	0.23619999	31.10007368	0.072804544	1.492761418	0.021205096	9.678955922	0.011844299	9.711155497	0.011844299	TRUE	SM	0.137169592	XMMLSS13_1310
MGTH_J022146.8-050750	35.445109	-5.130516	22165	0.073720672	184.065725	345.868978	333.2976627	0.319183117	52.804225	0.076580642	1.722668673	0.019328111	9.860097105	0.008557985	9.89225579	0.008557985	TRUE	Irr	0.133576449	XMMLSS13_1310
MGTH_J022154.1-044023	35.475513	-4.672937	24445	0.081408925	505.982551	383.944804	370.0212145	0.455991209	63.91653899	0.086432594	1.80561325	0.020812535	10.09960511	0.004743157	10.13168945	0.004743157	TRUE	S	0.105153164	XMMLSS13_1310
MGTH_J022106.1-045401	35.275543	-4.900304	24548	0.081753181	300.653212	385.6583055	371.6739998	0.142093977	41.79070141	0.086797627	1.62107966	0.023279608	9.596818955	0.014813298	9.62889997	0.014813298	FALSE	ET	0.102321631	XMMLSS13_1310
MGTH_J022108.8-052326	35.286727	-5.390599	24651	0.082271626	100.924088	388.2401968	374.1644271	0.263173318	67.26043913	0.087347796	1.827759698	0.020778061	9.869869587	0.01969904	9.901945593	0.01969904	TRUE	D	0.251964538	XMMLSS13_1310
